[2025-11-28 14:06:35] [32minfo[39m: 	z2m: Zigbee2MQTT started!
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x781c9dfffe016cee/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.taklys_kjellerstue_kontor_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x781c9dfffe016cee"],"manufacturer":"IKEA","model":"JETSTROM ceiling light panel, white spectrum, 60x60 cm","model_id":"L2207","name":"Taklys kjellerstue kontor","sw_version":"2.4.8","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"taklys_kjellerstue_kontor_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Taklys kjellerstue kontor","unique_id":"0x781c9dfffe016cee_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x54dce9fffead8813/power/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.0x54dce9fffead8813_power","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x54dce9fffead8813"],"manufacturer":"IKEA","model":"INSPELNING smart plug","model_id":"E2206","name":"0x54dce9fffead8813","sw_version":"2.4.45","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"power","enabled_by_default":true,"object_id":"0x54dce9fffead8813_power","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/0x54dce9fffead8813","unique_id":"0x54dce9fffead8813_power_zigbee2mqtt","unit_of_measurement":"W","value_template":"{{ value_json.power }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x54dce9fffead8813/voltage/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.0x54dce9fffead8813_voltage","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x54dce9fffead8813"],"manufacturer":"IKEA","model":"INSPELNING smart plug","model_id":"E2206","name":"0x54dce9fffead8813","sw_version":"2.4.45","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"voltage","enabled_by_default":true,"object_id":"0x54dce9fffead8813_voltage","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/0x54dce9fffead8813","unique_id":"0x54dce9fffead8813_voltage_zigbee2mqtt","unit_of_measurement":"V","value_template":"{{ value_json.voltage }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x54dce9fffead8813/current/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.0x54dce9fffead8813_current","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x54dce9fffead8813"],"manufacturer":"IKEA","model":"INSPELNING smart plug","model_id":"E2206","name":"0x54dce9fffead8813","sw_version":"2.4.45","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"current","enabled_by_default":true,"object_id":"0x54dce9fffead8813_current","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/0x54dce9fffead8813","unique_id":"0x54dce9fffead8813_current_zigbee2mqtt","unit_of_measurement":"A","value_template":"{{ value_json.current }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x54dce9fffead8813/energy/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.0x54dce9fffead8813_energy","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x54dce9fffead8813"],"manufacturer":"IKEA","model":"INSPELNING smart plug","model_id":"E2206","name":"0x54dce9fffead8813","sw_version":"2.4.45","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"energy","enabled_by_default":true,"object_id":"0x54dce9fffead8813_energy","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"total_increasing","state_topic":"zigbee2mqtt/0x54dce9fffead8813","unique_id":"0x54dce9fffead8813_energy_zigbee2mqtt","unit_of_measurement":"kWh","value_template":"{{ value_json.energy }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x54dce9fffead8813/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.0x54dce9fffead8813_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x54dce9fffead8813"],"manufacturer":"IKEA","model":"INSPELNING smart plug","model_id":"E2206","name":"0x54dce9fffead8813","sw_version":"2.4.45","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"0x54dce9fffead8813_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/0x54dce9fffead8813","unique_id":"0x54dce9fffead8813_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0xccccccfffebe8ad3/color_options/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.taklys_mia_color_options","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xccccccfffebe8ad3"],"manufacturer":"IKEA","model":"TRADFRI bulb E12/E14/E26/E27, color/white spectrum, globe, opal, 600 lm","model_id":"LED1624G9","name":"Taklys Mia","sw_version":"2.3.093","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"entity_category":"diagnostic","icon":"mdi:palette","name":"Color options","object_id":"taklys_mia_color_options","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Taklys Mia","unique_id":"0xccccccfffebe8ad3_color_options_zigbee2mqtt","value_template":"{{ value_json.color_options | default('',True) | string | truncate(254, True, '', 0) }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0xccccccfffebe8ad3/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.taklys_mia_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xccccccfffebe8ad3"],"manufacturer":"IKEA","model":"TRADFRI bulb E12/E14/E26/E27, color/white spectrum, globe, opal, 600 lm","model_id":"LED1624G9","name":"Taklys Mia","sw_version":"2.3.093","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"taklys_mia_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Taklys Mia","unique_id":"0xccccccfffebe8ad3_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x90fd9ffffee05322/battery/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.fjernkontroll_ask_taklys_battery","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x90fd9ffffee05322"],"manufacturer":"IKEA","model":"TRADFRI remote control","model_id":"E1524/E1810","name":"Fjernkontroll Ask taklys","sw_version":"24.4.5","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"battery","enabled_by_default":true,"entity_category":"diagnostic","object_id":"fjernkontroll_ask_taklys_battery","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Fjernkontroll Ask taklys","unique_id":"0x90fd9ffffee05322_battery_zigbee2mqtt","unit_of_measurement":"%","value_template":"{{ value_json.battery }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x90fd9ffffee05322/action/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.fjernkontroll_ask_taklys_action","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x90fd9ffffee05322"],"manufacturer":"IKEA","model":"TRADFRI remote control","model_id":"E1524/E1810","name":"Fjernkontroll Ask taklys","sw_version":"24.4.5","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"entity_category":"diagnostic","icon":"mdi:gesture-double-tap","name":"Action","object_id":"fjernkontroll_ask_taklys_action","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Fjernkontroll Ask taklys","unique_id":"0x90fd9ffffee05322_action_zigbee2mqtt","value_template":"{{ value_json.action }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x90fd9ffffee05322/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.fjernkontroll_ask_taklys_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x90fd9ffffee05322"],"manufacturer":"IKEA","model":"TRADFRI remote control","model_id":"E1524/E1810","name":"Fjernkontroll Ask taklys","sw_version":"24.4.5","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"fjernkontroll_ask_taklys_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Fjernkontroll Ask taklys","unique_id":"0x90fd9ffffee05322_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x000d6ffffe1930ba/battery/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.fjernkontroll_mia_taklys_battery","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x000d6ffffe1930ba"],"manufacturer":"IKEA","model":"TRADFRI remote control","model_id":"E1524/E1810","name":"Fjernkontroll Mia taklys","sw_version":"24.4.5","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"battery","enabled_by_default":true,"entity_category":"diagnostic","object_id":"fjernkontroll_mia_taklys_battery","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Fjernkontroll Mia taklys","unique_id":"0x000d6ffffe1930ba_battery_zigbee2mqtt","unit_of_measurement":"%","value_template":"{{ value_json.battery }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x000d6ffffe1930ba/action/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.fjernkontroll_mia_taklys_action","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x000d6ffffe1930ba"],"manufacturer":"IKEA","model":"TRADFRI remote control","model_id":"E1524/E1810","name":"Fjernkontroll Mia taklys","sw_version":"24.4.5","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"entity_category":"diagnostic","icon":"mdi:gesture-double-tap","name":"Action","object_id":"fjernkontroll_mia_taklys_action","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Fjernkontroll Mia taklys","unique_id":"0x000d6ffffe1930ba_action_zigbee2mqtt","value_template":"{{ value_json.action }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x000d6ffffe1930ba/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.fjernkontroll_mia_taklys_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x000d6ffffe1930ba"],"manufacturer":"IKEA","model":"TRADFRI remote control","model_id":"E1524/E1810","name":"Fjernkontroll Mia taklys","sw_version":"24.4.5","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"fjernkontroll_mia_taklys_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Fjernkontroll Mia taklys","unique_id":"0x000d6ffffe1930ba_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x086bd7fffe05352f/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.mosaiklampe_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x086bd7fffe05352f"],"manufacturer":"IKEA","model":"TRADFRI control outlet","model_id":"E160x/E170x/E190x","name":"Mosaiklampe","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"mosaiklampe_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Mosaiklampe","unique_id":"0x086bd7fffe05352f_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0xd44867fffe238c4e/battery/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.knapp_gang_x4_battery","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0xd44867fffe238c4e"],"manufacturer":"Namron","model":"Zigbee 8 channel switch white","model_id":"4512772","name":"Knapp Gang x4","sw_version":"2.7.6_r26","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"battery","enabled_by_default":true,"entity_category":"diagnostic","object_id":"knapp_gang_x4_battery","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Knapp Gang x4","unique_id":"0xd44867fffe238c4e_battery_zigbee2mqtt","unit_of_measurement":"%","value_template":"{{ value_json.battery }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0xd44867fffe238c4e/action/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.knapp_gang_x4_action","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0xd44867fffe238c4e"],"manufacturer":"Namron","model":"Zigbee 8 channel switch white","model_id":"4512772","name":"Knapp Gang x4","sw_version":"2.7.6_r26","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"entity_category":"diagnostic","icon":"mdi:gesture-double-tap","name":"Action","object_id":"knapp_gang_x4_action","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/Knapp Gang x4","unique_id":"0xd44867fffe238c4e_action_zigbee2mqtt","value_template":"{{ value_json.action }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0xd44867fffe238c4e/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.knapp_gang_x4_linkquality","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0xd44867fffe238c4e"],"manufacturer":"Namron","model":"Zigbee 8 channel switch white","model_id":"4512772","name":"Knapp Gang x4","sw_version":"2.7.6_r26","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"knapp_gang_x4_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Knapp Gang x4","unique_id":"0xd44867fffe238c4e_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x881a14fffe35cb38/power/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.lys_garderobe_gang_power","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x881a14fffe35cb38"],"manufacturer":"Micro Matic Norge AS","model":"Zigbee dimmer for LED","model_id":"ZB250","name":"Lys garderobe gang","sw_version":"2.9.2_r58","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"power","enabled_by_default":true,"object_id":"lys_garderobe_gang_power","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Lys garderobe gang","unique_id":"0x881a14fffe35cb38_power_zigbee2mqtt","unit_of_measurement":"W","value_template":"{{ value_json.power }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x881a14fffe35cb38/voltage/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.lys_garderobe_gang_voltage","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x881a14fffe35cb38"],"manufacturer":"Micro Matic Norge AS","model":"Zigbee dimmer for LED","model_id":"ZB250","name":"Lys garderobe gang","sw_version":"2.9.2_r58","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"voltage","enabled_by_default":true,"object_id":"lys_garderobe_gang_voltage","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Lys garderobe gang","unique_id":"0x881a14fffe35cb38_voltage_zigbee2mqtt","unit_of_measurement":"V","value_template":"{{ value_json.voltage }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x881a14fffe35cb38/current/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.lys_garderobe_gang_current","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x881a14fffe35cb38"],"manufacturer":"Micro Matic Norge AS","model":"Zigbee dimmer for LED","model_id":"ZB250","name":"Lys garderobe gang","sw_version":"2.9.2_r58","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"current","enabled_by_default":true,"object_id":"lys_garderobe_gang_current","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Lys garderobe gang","unique_id":"0x881a14fffe35cb38_current_zigbee2mqtt","unit_of_measurement":"A","value_template":"{{ value_json.current }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x881a14fffe35cb38/energy/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.lys_garderobe_gang_energy","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x881a14fffe35cb38"],"manufacturer":"Micro Matic Norge AS","model":"Zigbee dimmer for LED","model_id":"ZB250","name":"Lys garderobe gang","sw_version":"2.9.2_r58","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"energy","enabled_by_default":true,"object_id":"lys_garderobe_gang_energy","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"total_increasing","state_topic":"zigbee2mqtt/Lys garderobe gang","unique_id":"0x881a14fffe35cb38_energy_zigbee2mqtt","unit_of_measurement":"kWh","value_template":"{{ value_json.energy }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x881a14fffe35cb38/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.lys_garderobe_gang_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x881a14fffe35cb38"],"manufacturer":"Micro Matic Norge AS","model":"Zigbee dimmer for LED","model_id":"ZB250","name":"Lys garderobe gang","sw_version":"2.9.2_r58","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"lys_garderobe_gang_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Lys garderobe gang","unique_id":"0x881a14fffe35cb38_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/0x0c4314fffefc5168/linkquality/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.downlight_bad_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x0c4314fffefc5168"],"manufacturer":"Namron","model":"Zigbee dimmer 2.0","model_id":"4512750","name":"Downlight bad","sw_version":"3.09","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"downlight_bad_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/Downlight bad","unique_id":"0x0c4314fffefc5168_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/ams-4a6_rssi/config' with data '{"name":"Status","stat_t":"amsreader/state","uniq_id":"ams-4a6_rssi","obj_id":"ams-4a6_rssi","unit_of_meas":"dBm","val_tpl":"{{ value_json.rssi | is_defined }}","expire_after":180,"dev":{"ids":["ams-4a6"],"name":"AMS reader","mdl":"Pow-U+","sw":"v2.4.11","mf":"amsleser.no","cu":"http://ams-4a6.local/"},"dev_cla":"signal_strength","stat_cla":"measurement"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/ams-4a6_vcc/config' with data '{"name":"Supply volt","stat_t":"amsreader/state","uniq_id":"ams-4a6_vcc","obj_id":"ams-4a6_vcc","unit_of_meas":"V","val_tpl":"{{ value_json.vcc | is_defined }}","expire_after":180,"dev":{"ids":["ams-4a6"],"name":"AMS reader","mdl":"Pow-U+","sw":"v2.4.11","mf":"amsleser.no","cu":"http://ams-4a6.local/"},"dev_cla":"voltage","stat_cla":"measurement"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/ams-4a6_up/config' with data '{"name":"Uptime","stat_t":"amsreader/state","uniq_id":"ams-4a6_up","obj_id":"ams-4a6_up","unit_of_meas":"s","val_tpl":"{{ value_json.up | is_defined }}","expire_after":180,"dev":{"ids":["ams-4a6"],"name":"AMS reader","mdl":"Pow-U+","sw":"v2.4.11","mf":"amsleser.no","cu":"http://ams-4a6.local/"},"dev_cla":"duration","stat_cla":"measurement"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/ams-4a6_pricesmin/config' with data '{"name":"Minimum price ahead","stat_t":"amsreader/prices","uniq_id":"ams-4a6_pricesmin","obj_id":"ams-4a6_pricesmin","unit_of_meas":"NOK/kWh","val_tpl":"{{ value_json.prices.min | is_defined }}","expire_after":4000,"dev":{"ids":["ams-4a6"],"name":"AMS reader","mdl":"Pow-U+","sw":"v2.4.11","mf":"amsleser.no","cu":"http://ams-4a6.local/"},"dev_cla":"monetary"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/ams-4a6_pricesmax/config' with data '{"name":"Maximum price ahead","stat_t":"amsreader/prices","uniq_id":"ams-4a6_pricesmax","obj_id":"ams-4a6_pricesmax","unit_of_meas":"NOK/kWh","val_tpl":"{{ value_json.prices.max | is_defined }}","expire_after":4000,"dev":{"ids":["ams-4a6"],"name":"AMS reader","mdl":"Pow-U+","sw":"v2.4.11","mf":"amsleser.no","cu":"http://ams-4a6.local/"},"dev_cla":"monetary"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/sensor/ams-4a6_pricescheapest1hr/config' with data '{"name":"Cheapest 1hr period ahead","stat_t":"amsreader/prices","uniq_id":"ams-4a6_pricescheapest1hr","obj_id":"ams-4a6_pricescheapest1hr","unit_of_meas":"","val_tpl":"{{ value_json.prices.cheapest1hr | is_defined }}","expire_after":4000,"dev":{"ids":["ams-4a6"],"name":"AMS reader","mdl":"Pow-U+","sw":"v2.4.11","mf":"amsleser.no","cu":"http://ams-4a6.local/"},"dev_cla":"timestamp"}'
